Title,Genre,Year,imdbRating,Plot
My Big Fat Greek Wedding 2,"Comedy, Romance",2016,6.0,A Portokalos family secret brings the beloved characters back together for an even bigger and Greeker wedding.
Neon Bull,Drama,2015,6.8,"Iremar works at the rodeo in North East of Brazil. From his home, the truck used to transport the animals, he dreams of a future in the region's booming clothing industry."
Get a Job,Comedy,2016,5.3,"Life after college graduation is not exactly going as planned for Will and Jillian who find themselves lost in a sea of increasingly strange jobs. But with help from their family, friends ..."
Keanu,"Action, Comedy, Crime",2016,6.3,"When an L.A. drug kingpin's kitten unexpectedly enters the life of two cousins, they will have to go through gangs, hitmen and drug dealers who claim him in order to get him back."
Me Him Her,"Comedy, Romance",2015,5.4,Twenty-something drifter Cory arrives in Los Angeles to help his semi-famous TV star friend Brendan take his first steps out of the closet.
Ice Age: The Great Egg-Scapade,"Animation, Short, Adventure, Comedy, Family",2016,5.9,"When Sid takes a job as an egg nanny, he's unaware an old enemy has plans of his own. The shenanigans lead to the first egg hunt and creation of popular Easter traditions."
Everybody Wants Some!!,Comedy,2016,7.0,"In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood."
Sing Street,"Comedy, Drama, Music, Romance",2016,8.0,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
Zoom,"Animation, Comedy, Drama",2015,6.2,"A multi-dimensional interface between a comic book artist, a novelist, and a film director. Each lives in a separate reality but authors a story about one of the others."
The Huntsman: Winter's War,"Action, Adventure, Drama, Fantasy",2016,6.1,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna."
Neighbors 2: Sorority Rising,Comedy,2016,5.7,"When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down."
The Trust,"Crime, Drama, Thriller",2016,5.4,A pair of cops investigating a drug invasion stumble upon a mysterious bank vault.
Hush,"Horror, Thriller",2016,6.6,A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.
The Man Who Knew Infinity,"Biography, Drama",2015,7.2,"The story of the life and academic career of the pioneer Indian mathematician, Srinivasa Ramanujan, and his friendship with his mentor, Professor G.H. Hardy."
Despite the Falling Snow,"Drama, Mystery, Romance, Thriller",2016,5.8,"In Cold War Moscow, a female spy steals secrets from an idealistic politician - and falls in love with him."
Money Monster,"Crime, Drama, Thriller",2016,6.5,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes them and their crew as hostage.
Barbershop: The Next Cut,"Comedy, Drama",2016,5.9,"As their surrounding community has taken a turn for the worse, the crew at Calvin's Barbershop come together to bring some much needed change to their neighborhood."
Finding Dory,"Animation, Adventure, Comedy, Family",2016,7.3,"The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
The Boss,Comedy,2016,5.4,"A titan of industry is sent to prison after she's caught insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget."
The Angry Birds Movie,"Animation, Action, Adventure, Comedy, Family",2016,6.3,"Find out why the birds are so angry. When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs are up to."
Bakuman.,Comedy,2015,7.1,"Moritaka Mashiro, a junior high student, forgets his notebook in class. His classmate Akito Takagi, notes Mashiro's drawings in it and asks him to become a manga artist to his stories. ..."
I Am Wrath,"Action, Crime, Drama, Thriller",2016,5.4,A man is out for justice after a group of corrupt police officers are unable to catch his wife's killer.
Precious Cargo,"Action, Comedy, Crime, Drama, Thriller",2016,4.6,A crime boss tries to make off with loot that belongs to another thief.
Snowden,"Biography, Drama, Thriller",2016,7.3,"The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press."
Ratchet & Clank,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",2016,5.6,"When the galaxy comes under the threat of a nefarious space captain, a mechanic and his newfound robot ally join an elite squad of combatants to save the universe."
Kicking Off,"Comedy, Crime, Sport",2015,3.9,"After their football team is relegated, two fans kidnap the referee who they believe unfairly disallowed a winning goal."
Robot Sound,Sci-Fi,2016,7.3,The plot revolves around a robotic satellite with artificial intelligence that crash lands in Korea and contains clues for a father who is desperately searching for his missing daughter.
The Nice Guys,"Action, Comedy, Crime, Mystery, Thriller",2016,7.4,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."
Kindergarten Cop 2,"Action, Comedy",2016,4.5,"Assigned to recover sensitive stolen data, a gruff FBI agent goes undercover as a kindergarten teacher, but the school's liberal, politically correct environment is more than he bargained for."
Flight Crew,"Action, Adventure, Drama",2016,6.9,"A story about bravery, self-sacrifice and human dignity put on trial by the merciless power of nature. A young pilot is fired from military air force after disobeying an absurd order. He ..."
The Shallows,"Drama, Horror, Thriller",2016,6.3,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills."
The Handmaiden,"Drama, Romance, Thriller",2016,8.1,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
Alice Through the Looking Glass,"Adventure, Family, Fantasy",2016,6.2,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.
The BFG,"Adventure, Family, Fantasy",2016,6.4,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world."
My Scientology Movie,Documentary,2015,6.7,Louis Theroux documents his investigation into what goes on behind the scenes of the infamous Church of Scientology.
Sausage Party,"Animation, Adventure, Comedy, Fantasy",2016,6.2,A sausage strives to discover the truth about his existence.
All Yours,"Comedy, Romance",2016,6.1,"Cass, a widowed mother of two and driven attorney, is in need of a nanny. She hires Matt, a handsome single family friend. Matthew's more laid back style changes the demeanor of the family's intense schedule. Does Cass realize she's needs to adjust her life's focus?"
Kill Command,"Action, Horror, Sci-Fi, Thriller",2016,5.7,"Set in a near future, technology-reliant society that pits man against killing machines."
Captain Fantastic,"Comedy, Drama",2016,7.9,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
Toni Erdmann,"Comedy, Drama",2016,7.4,A practical joking father tries to reconnect with his hard working daughter by creating an outrageous alter ego and posing as her CEO's life coach.
The Wailing,"Horror, Mystery, Thriller",2016,7.4,"Soon after a stranger arrives in a little village, a mysterious sickness starts spreading. A policeman, drawn into the incident, is forced to solve the mystery in order to save his daughter."
The Meddler,"Comedy, Drama, Romance",2015,6.3,An aging widow from New York City follows her daughter to Los Angeles in hopes of starting a new life after her husband passes away.
Now You See Me 2,"Action, Adventure, Comedy, Crime, Mystery, Thriller",2016,6.5,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet."
Ali Wong: Baby Cobra,"Documentary, Comedy",2016,7.5,"Ali Wong's stand up special delves into her sexual adventures, hoarding, the rocky road to pregnancy, and why feminism is terrible."
Café Society,"Comedy, Drama, Romance",2016,6.6,"In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man."
Swiss Army Man,"Adventure, Comedy, Drama, Fantasy, Romance",2016,7.0,A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.
The Do-Over,"Action, Adventure, Comedy, Mystery",2016,5.7,"Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble."
Teenage Mutant Ninja Turtles: Out of the Shadows,"Action, Adventure, Comedy, Sci-Fi",2016,6.0,"The Turtles get into another battle with their enemy the Shredder, who has acquired new allies: the mutant thugs Bebop and Rocksteady and the alien being Krang."
The Fundamentals of Caring,"Comedy, Drama",2016,7.3,A man suffering an incredible amount of loss enrolls in a class about care-giving that changes his perspective on life.
Popstar: Never Stop Never Stopping,"Comedy, Music",2016,6.7,"When it becomes clear that his solo album is a failure, a former boy band member does everything in his power to maintain his celebrity status."
A Midsummer Night's Dream,"Comedy, Fantasy, Romance",2016,6.5,"A modern re-telling of the classic fantasy drama by William Shakespeare, A Midsummer Night's Dream holds a star-studded cast with euphoric effects and melodramatic storytelling."
Bo Burnham: Make Happy,"Documentary, Comedy, Music",2016,8.4,"Bo Burnham tackles life, death, sexuality, hypocrisy, mental illness and Pringles cans in his dazzling new stand-up special."
The Conjuring 2,"Horror, Mystery, Thriller",2016,7.4,Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.
Pelé: Birth of a Legend,"Biography, Drama, Sport",2016,7.2,Pele's meteoric rise from the slums of Sao Paulo to leading Brazil to its first World Cup victory at the age of 17 is chronicled in this biographical drama.
Ghostbusters,"Action, Comedy, Fantasy, Sci-Fi",2016,5.2,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."
Central Intelligence,"Action, Comedy, Crime",2016,6.3,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage."
O.J.: Made in America,"Documentary, Biography, Crime, History",2016,9.0,"A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation."
Genius,"Biography, Drama",2016,6.6,"A chronicle of Max Perkins's time as the book editor at Scribner, where he oversaw works by Thomas Wolfe, Ernest Hemingway, F. Scott Fitzgerald and others."
Jason Bourne,"Action, Thriller",2016,6.6,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.
The Legend of Tarzan,"Action, Adventure, Drama, Fantasy, Romance",2016,6.3,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
The Purge: Election Year,"Action, Horror, Thriller",2016,6.0,"Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge."
Mike and Dave Need Wedding Dates,"Adventure, Comedy, Romance",2016,6.0,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo."
Ice Age: Collision Course,"Animation, Adventure, Comedy, Family, Fantasy, Romance, Sci-Fi",2016,5.7,"When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend."
Lights Out,Horror,2016,6.3,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother."
Pete's Dragon,"Action, Adventure, Comedy, Family, Fantasy",2016,6.7,"The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon."
Indignation,"Drama, Romance",2016,6.8,"In 1951, Marcus, a working-class Jewish student from New Jersey, attends a small Ohio college, where he struggles with sexual repression and cultural disaffection, amid the ongoing Korean War."
Goat,Drama,2016,5.7,"Reeling from a terrifying assault, a 19 year-old enrolls into college with his brother and pledges the same fraternity. What happens there, in the name of ""brotherhood,"" tests him and his loyalty to his brother in brutal ways."
Marauders,"Action, Crime, Mystery, Thriller",2016,5.5,"When a bank is hit by a brutal heist, all evidence points to the owner and his high-powered clients. But as a group of FBI agents dig deeper into the case - and the deadly heists continue - it becomes clear that a larger conspiracy is at play."
Piper,"Animation, Short, Family",2016,8.4,"A mother bird tries to teach her little one how to find food by herself. In the process, she encounters a traumatic experience that she must overcome in order to survive."
The Adderall Diaries,"Crime, Drama, Thriller",2015,5.2,"Elliot, a troubled former successful writer decides to write about a missing wife and the following murder trial of her husband."
The Red Turtle,"Animation, Fantasy",2016,7.5,"A man is shipwrecked on a deserted island and encounters a red turtle, which changes his life."
Satanic,Horror,2016,3.7,"Four friends on their way to Coachella stop off in Los Angeles to tour true-crime occult sites, only to encounter a mysterious young runaway who puts them on a terrifying path to ultimate horror."
Nerve,"Action, Adventure, Crime, Drama, Mystery, Thriller",2016,6.6,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers."""
Sully,"Biography, Drama",2016,7.5,"The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew."
Jim Jefferies: Freedumb,"Documentary, Comedy",2016,7.7,"Jim Jefferies talks about family life and challenges the idea of American freedom live on stage in Nashville, Tennessee."
The Infiltrator,"Biography, Crime, Drama, Thriller",2016,7.0,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.
War Dogs,"Comedy, Crime, Drama, War",2016,7.1,"Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan."
Vigilante Diaries,"Action, Crime, Thriller",2016,5.9,"The Vigilante Diaries is a high octane action-adventure following The Vigilante (Paul Sloan) and The Kid (Kevin L. Walker) on dangerous adventures, from the mega-mansions and the underbelly..."
Batman: The Killing Joke,"Animation, Action, Crime, Drama, Sci-Fi, Thriller",2016,6.5,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness."
Bad Moms,Comedy,2016,6.2,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence."
Hell or High Water,"Action, Crime, Drama, Thriller, Western",2016,7.6,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.
Kingsglaive: Final Fantasy XV,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",2016,6.8,"King Regis, who oversees the land of Lucis, commands his army of soldiers to protect the kingdom from the Niflheim empire's plans to steal the sacred crystal which gives Lucis its magic and power."
Don't Breathe,"Crime, Horror, Thriller",2016,7.1,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
Body,"Crime, Drama, Thriller",2015,5.3,A night out turns deadly when three girls break into a seemingly empty mansion.
Sharknado 4: The 4th Awakens,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",2016,4.0,"Fin, his family and the cosmos have been blissfully sharknado-free in the five years since the most recent attack, but now sharks and tornadoes are being whipped up in unexpected ways and places."
The Edge of Seventeen,"Comedy, Drama",2016,7.4,"High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother."
Elle,"Crime, Drama, Thriller",2016,7.2,A successful businesswoman gets caught up in a game of cat and mouse as she tracks down the unknown man who raped her.
Train to Busan,"Action, Horror, Thriller",2016,7.5,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan."
Tom Segura: Mostly Stories,"Documentary, Comedy",2016,7.5,"The bearded, bawdy and comically bitter Tom Segura gets real about body piercings, the ""Area 51"" of men's bodies, and the lie he told Mike Tyson."
The Magnificent Seven,"Action, Adventure, Western",2016,6.9,Seven gunmen in the old west gradually come together to help a poor village against savage thieves.
Masterminds,"Action, Comedy, Crime",2016,5.8,A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.
Kubo and the Two Strings,"Animation, Action, Adventure, Family, Fantasy",2016,7.8,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
Bridget Jones's Baby,"Comedy, Drama, Romance",2016,6.5,"Bridget's focus on single life and her career is interrupted when she finds herself pregnant, but with one hitch ... she can only be fifty percent sure of the identity of her baby's father."
Deepwater Horizon,"Action, Drama, History, Thriller",2016,7.1,"A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history."
Miss Peregrine's Home for Peculiar Children,"Adventure, Drama, Fantasy, Thriller",2016,6.7,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers."
The Girl on the Train,"Crime, Drama, Mystery, Thriller",2016,6.5,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.
The Accountant,"Action, Crime, Drama, Thriller",2016,7.3,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise."
Imperium,"Crime, Drama, Thriller",2016,6.5,"A young FBI agent, eager to prove himself in the field, goes undercover as a white supremacist."
Kizumonogatari Part 1: Tekketsu,"Animation, Action, Comedy",2016,7.6,Follows Araragi's encounter with the vampire Kiss-shot Acerola-orion Heart-under-blade and his journey back into humanity from being a vampire.
Shin Godzilla,"Action, Adventure, Drama, Horror, Sci-Fi",2016,6.7,Japan is plunged into chaos upon the appearance of a giant monster.
Your Name.,"Animation, Drama, Fantasy, Romance",2016,8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
DC Super Hero Girls: Hero of the Year,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",2016,5.6,It's time for the annual Hero of the Year ceremony and the students of Super Hero High compete for the top prize. But the festivities take a turn when Dark Opal targets the heroes and ...
Hacksaw Ridge,"Biography, Drama, History, War",2016,8.1,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
David Cross: Making America Great Again,Comedy,2016,6.4,"Actor/comedian David Cross skewers Donald Trump, takes shots at religious taboos and American swagger in a hilarious yet provocative night of comedy at the Paramount Theatre in Austin, TX."
Blair Witch,"Horror, Thriller",2016,5.0,"After discovering a video showing what he believes to be his vanished sister Heather, James and a group of friends head to the forest believed to be inhabited by the Blair Witch."
31,"Horror, Thriller",2016,5.1,"Five carnival workers are kidnapped and held hostage in an abandoned, Hell-like compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns."
ARQ,"Sci-Fi, Thriller",2016,6.4,"Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity."
Arrival,"Drama, Mystery, Sci-Fi, Thriller",2016,7.9,A linguist is recruited by the military to communicate with alien lifeforms after twelve mysterious spacecrafts land around the world.
Storks,"Animation, Adventure, Comedy, Family, Fantasy",2016,6.8,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby."
Maximum Ride,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Thriller",2016,3.8,A flock of winged children mount a rescue plan when wolf-boys abduct their youngest member and return her to the militarized institution that created them all.
Endless Poetry,"Biography, Drama, Fantasy",2016,7.6,"Surrealist filmmaker Alejandro Jodorowsky tells the story of himself as a young man becoming a poet in Chile, befriending other artists, and freeing himself from the limits of his youth."
The Girl with All the Gifts,"Drama, Horror, Thriller",2016,6.7,A scientist and a teacher living in a dystopian future embark on a journey of survival with a special young girl named Melanie.
All Roads Lead to Rome,"Comedy, Drama, Romance",2015,4.8,"Maggie is an uptight, single mother and college writing teacher from New York City. In an effort to reconnect with her troubled teen daughter Summer, she decides to embark on a journey to a..."
Amanda Knox,"Documentary, Crime",2016,7.0,American exchange student Amanda Knox is convicted and eventually acquitted for the 2007 death of another student in Italy.
Dirty 30,Comedy,2016,5.5,"When the party is on, it is off the hook! Kate has only a few days to turn her life around before she turns Dirty 30, but with three besties and zero rules, anything is possible!"
Gimme Danger,"Documentary, Music",2016,7.2,"An in-depth look at the legendary punk band, The Stooges."
Anything for Love,"Comedy, Romance",2016,6.6,"A high-powered executive lies about her career on her dating profile, while her match also hides his true identity."
Guardians of the Night,"Action, Fantasy, Thriller",2016,4.4,"Contemporary Moscow. When eighteen-year-old Pasha rescues a beautiful young woman from a band of strangely powerful attackers, he discovers an underworld of supernatural beings living among us."
La La Land,"Comedy, Drama, Music, Musical, Romance",2016,8.0,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
13th,"Documentary, Crime, History",2016,8.2,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.
London Town,"Drama, Music",2016,6.4,"In '70s London, a 14 year-old boy is introduced to the Clash by his estranged mother. It changes his life forever."
Inferno,"Action, Adventure, Crime, Drama, Mystery, Thriller",2016,6.2,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot."
Keeping Up with the Joneses,"Action, Comedy",2016,5.9,A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.
Wild Oats,"Action, Adventure, Comedy, Drama",2016,5.6,"Everything changes for Eva when she receives a life insurance check accidentally made out for $5,000,000 instead of the expected $50 thousand. She and her best friend take the money and head out for the adventure of a lifetime."
The Rocky Horror Picture Show: Let's Do the Time Warp Again,"Comedy, Horror, Musical, Thriller",2016,4.3,"A straitlaced, square couple, seeking shelter from a storm, find themselves in the castle of a transgender alien mad scientist intent on creating a buff bodybuilder."
Jack Reacher: Never Go Back,"Action, Thriller",2016,6.1,"Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever."
Joe Rogan: Triggered,"Documentary, Comedy",2016,7.5,"Unleashing his inquisitive, intense comedic style, Rogan explores everything from raising kids and Santa Claus to pot gummies and talking to dolphins."
Ethel & Ernest,"Animation, Drama, History",2016,7.8,"The life and times of the parents of the hailed British graphic novelist, Raymond Briggs."
Manchester by the Sea,Drama,2016,7.8,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
Lion,"Biography, Drama",2016,8.1,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family."
The Thinning,"Action, Drama, Horror, Sci-Fi, Thriller",2016,5.7,"""The Thinning"" takes place in a future plagued by overcrowding where population control is dictated by a high-school aptitude test. When two students (Logan Paul and Peyton List) discover ..."
Team Thor,"Short, Comedy, Fantasy, Sci-Fi",2016,8.1,"The story of what the hammer-wielding Nordic god Thor was up to while the rest of the Avengers were battling each other in ""Captain America: Civil War"". He moves into a flat with office worker Darryl Jacobson in Australia."
Bad Santa 2,"Comedy, Crime, Drama",2016,5.6,"Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve."
Ice Guardians,"Documentary, Sport",2016,7.5,"On-ice enforcers struggle to rise through the professional ranks of the world's most prestigious hockey league, only to be confronted with a new found fight for the existence of the role itself."
Risk,Documentary,2016,6.3,The story of WikiLeak's editor-in-chief Julian Assange as seen by documentary filmmaker Laura Poitras.
True Memoirs of an International Assassin,"Action, Comedy, Crime",2016,5.9,"After a publisher changes a writer's debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own survival."
HyperNormalisation,Documentary,2016,8.3,"Adam Curtis explains how, at a time of confusing and inexplicable world events, politicians and the people they represent have retreated in to a damaging over-simplified version of what is happening."
The African Doctor,"Biography, Comedy, Drama",2016,7.0,"The story of Seyolo Zantoko, who as a freshly graduated doctor of Congolese descent in France, struggled with his family to integrate in a small rural village, and ended up being considered as one of the most respected doctors in the area."
A Silent Voice,"Animation, Drama, Romance",2016,8.2,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
Moana,"Animation, Adventure, Comedy, Family, Fantasy, Musical",2016,7.6,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
Office Christmas Party,Comedy,2016,5.8,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand..."
The Space Between Us,"Adventure, Drama, Romance, Sci-Fi",2017,6.4,"The first human born on Mars travels to Earth for the first time, experiencing the wonders of the planet through fresh eyes. He embarks on an adventure with a street smart girl to discover how he came to be."
Rogue One: A Star Wars Story,"Action, Adventure, Sci-Fi",2016,7.8,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.
Split,"Horror, Thriller",2016,7.3,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
Underworld: Blood Wars,"Action, Adventure, Fantasy, Horror",2016,5.8,"Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her."
Miss Sloane,"Drama, Thriller",2016,7.5,"In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price."
Passengers,"Drama, Romance, Sci-Fi, Thriller",2016,7.0,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early."
Hidden Figures,"Biography, Drama, History",2016,7.8,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
Fences,Drama,2016,7.2,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life."
The Founder,"Biography, Drama, History",2016,7.2,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness."
Why Him?,Comedy,2016,6.2,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.
Sing,"Animation, Comedy, Family, Musical",2016,7.1,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same."
I Am Not Your Negro,Documentary,2016,7.8,"Writer James Baldwin tells the story of race in modern America with his unfinished novel, Remember This House."
Assassin's Creed,"Action, Adventure, Sci-Fi",2016,5.8,"Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society."
A Dog's Purpose,"Adventure, Comedy, Drama, Family, Fantasy",2017,7.0,A dog looks to discover his purpose in life over the course of several lifetimes and owners.
Fist Fight,Comedy,2017,5.6,"When one school teacher unwittingly causes another teacher's dismissal, he is challenged to an after-school fight."
A Street Cat Named Bob,"Biography, Comedy, Drama, Family",2016,7.4,"Based on the international best selling book. The true feel good story of how James Bowen, a busker and recovering drug addict, had his life transformed when he met a stray ginger cat."
The Lego Batman Movie,"Animation, Action, Comedy, Family",2017,7.3,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick."
Khoroshiy malchik,"Comedy, Drama, Family",2016,6.6,Contemporary Moscow. Ninth-grader Kolya falls in love with a beautiful young teacher at his high school. The most beautiful girl in the senior class falls in love with him. How will he make his way through this triangle?
"Dana Carvey: Straight White Male, 60",Comedy,2016,6.4,"Emmy-winning comedy legend Dana Carvey returns to the stage with a routine that blends pitch-perfect impressions of big personalities with so-true-it-hurts stories about being a dad of millennials, the joys of aging, and pharmaceuticals."
Kizumonogatari II: Nekketsu-hen,"Animation, Action, Drama",2016,7.9,"In the spring of his second year of high school, Koyomi Araragi met the beautiful vampire Kiss-shot Acerola-orion Heart-under-blade. Koyomi saved Kiss-shot, who was on the verge of death ..."
Jim Gaffigan: Cinco,Comedy,2017,7.0,The king of clean comedy returns for his fifth hour long comedy special.
Kizumonogatari Part 3: Reiketsu,"Animation, Action, Drama",2017,8.0,"Part 3 of Kizumonogatari (Wound Tale) trilogy, based on a light novel by Nisio Isin."
John Wick: Chapter 2,"Action, Crime, Thriller",2017,7.5,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life."
Get Out,"Horror, Mystery, Thriller",2017,7.7,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
