Title,Genre,Year,imdbRating,Plot
Maggie,"Drama, Horror",2015,5.6,"A teenage girl in the Midwest becomes infected by an outbreak of a disease that slowly turns the infected into cannibalistic zombies. During her transformation, her loving father stays by her side."
Hot Pursuit,"Action, Comedy, Crime",2015,5.1,An uptight and by-the-book cop tries to protect the outgoing widow of a drug boss as they race through Texas pursued by crooked cops and murderous gunmen.
Slow West,"Adventure, Western",2015,6.9,"A young Scottish man travels across America in pursuit of the woman he loves, attracting the attention of an outlaw who is willing to serve as a guide."
Barely Lethal,"Action, Adventure, Comedy",2015,5.4,"A teenage special ops agent coveting a ""normal"" adolescence fakes her own death and enrolls in a suburban high school. She quickly learns that surviving the treacherous waters of high school is more challenging than international espionage."
The Martian,"Adventure, Drama, Sci-Fi",2015,8.0,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
Return to Sender,"Drama, Thriller",2015,5.1,A nurse living in small town goes on a blind date with a man who is not the person he says he is.
Kung Fury,"Short, Action, Comedy, Fantasy, Sci-Fi",2015,8.0,"In 1985, Kung Fury, the toughest martial artist cop in Miami, goes back in time to kill the worst criminal of all time - Kung Führer, a.k.a. Adolf Hitler."
Youth,"Comedy, Drama, Music, Romance",2015,7.3,A retired orchestra conductor is on vacation with his daughter and his film director best friend in the Alps when he receives an invitation from Queen Elizabeth II to perform for Prince Philip's birthday.
Survivor,"Action, Crime, Thriller",2015,5.6,"A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York City, but is forced to go on the run when she is framed for crimes she did not commit."
Hot Girls Wanted,Documentary,2015,6.1,A documentary about young women who have been drawn into the sex trade - and how easy it is for a web-savvy generation to end up making porn.
Spy,"Action, Comedy, Crime",2015,7.0,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster."
Trainwreck,"Comedy, Drama, Romance",2015,6.2,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy."
Aloha,"Comedy, Drama, Romance",2015,5.4,A celebrated military contractor returns to the site of his greatest career triumphs and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watch-dog assigned to him.
Dragon Blade,"Action, Adventure, Drama, Fantasy, History",2015,6.0,"When corrupt Roman leader Tiberius arrives with a giant army to claim the Silk Road, Huo An teams up his army with an elite Legion of defected Roman soldiers led by General Lucius to protect his country and his new friends."
Entourage,Comedy,2015,6.6,"Movie star Vincent Chase, together with his boys Eric, Turtle, and Johnny, are back - and back in business with super agent-turned-studio head Ari Gold on a risky project that will serve as Vince's directorial debut."
Bitter Lake,Documentary,2015,8.2,An experimental documentary that explores Saudi Arabia's relationship with the U.S. and the role this has played in the war in Afghanistan.
No Way Jose,Comedy,2015,4.5,"Jose Stern, an erstwhile indie-rocker relegated to playing children's birthday parties, is on the verge of turning 40 and at a crossroads in his life."
Inside Out,"Animation, Adventure, Comedy, Drama, Family, Fantasy",2015,8.2,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
The Wolfpack,"Documentary, Biography",2015,7.0,"Confined in an apartment from a New York housing project, the six Angulo brothers learned everything they know about the world through watching films and spend their time reenacting their favorite movies with intricate homemade costumes."
The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Sci-Fi, Thriller",2015,6.6,Katniss and a team of rebels from District 13 prepare for the final battle that will decide the future of Panem.
Pixels,"Animation, Action, Comedy, Sci-Fi",2015,5.6,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games."
Fantastic Beasts and Where to Find Them,"Adventure, Family, Fantasy",2016,7.3,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.
Mr. Holmes,"Drama, Mystery",2015,6.9,"An aged, retired Sherlock Holmes deals with early dementia, as he tries to remember his final case, and a mysterious woman, whose memory haunts him. He also befriends a fan, the young son of his housekeeper, who wants him to work again."
The Secret Life of Pets,"Animation, Adventure, Comedy, Family",2016,6.5,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
Self/less,"Action, Mystery, Sci-Fi, Thriller",2015,6.5,"A dying real estate mogul transfers his consciousness into a healthy young body, but soon finds that neither the procedure nor the company that performed it are quite what they seem."
The Last Witch Hunter,"Action, Adventure, Fantasy",2015,6.0,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.
Krampus,"Comedy, Fantasy, Horror",2015,6.2,A boy who has a bad Christmas ends up accidentally summoning a festive demon to his family home.
Suicide Squad,"Action, Adventure, Fantasy, Sci-Fi",2016,6.1,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.
Independence Day: Resurgence,"Action, Adventure, Sci-Fi",2016,5.2,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?"
Star Trek Beyond,"Action, Adventure, Sci-Fi, Thriller",2016,7.1,"The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test."
Ted 2,Comedy,2015,6.3,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law."
Absolutely Anything,"Comedy, Sci-Fi",2015,6.0,"A group of eccentric aliens confers a human being with the power to do absolutely anything, as an experiment."
Minions,"Animation, Action, Adventure, Comedy, Family",2015,6.4,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world."
The Good Dinosaur,"Animation, Adventure, Comedy, Drama, Family, Fantasy",2015,6.7,"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend."
Black Mass,"Biography, Crime, Drama",2015,6.9,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf."
Spectre,"Action, Adventure, Thriller",2015,6.8,"A cryptic message from 007's past sends him pitted against a mysterious terrorist organization called Spectre, and learns of its involvement in previous events of his most dangerous missions."
Sharknado 3: Oh Hell No!,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",2015,4.1,"A monstrous tornado unleashes ravenous sharks from Washington, D.C., all the way down to Orlando, Florida."
Steve Jobs,"Biography, Drama",2015,7.2,"Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac."
Macbeth,"Drama, History, War",2015,6.6,"Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself."
Vacation,"Adventure, Comedy",2015,6.1,"Rusty Griswold takes his own family on a road trip to ""Walley World"" in order to spice things up with his wife and reconnect with his sons."
The Face of an Angel,"Crime, Drama",2014,4.6,Both a journalist and a documentary filmmaker chase the story of a murder and its prime suspect.
Wild Horses,"Crime, Drama, Western",2015,4.8,"A detective opens up a fifteen-year-old missing persons case, and begins to suspect that the missing boy was murdered, and that a local rancher was involved."
The Squeeze,"Comedy, Drama, Sport",2015,5.4,A humble young man with uncommon skills from a small southern town gets caught up in high stakes golf matches between big-time gamblers until the game becomes life and death.
Careful What You Wish For,"Drama, Thriller",2015,5.7,"A guy gets more than he bargained for after entering into an affair with the wife of an investment banker. Soon, a suspicious death and substantial life insurance policy embroil him in a scandal."
Bad Ass 3: Bad Asses on the Bayou,"Action, Comedy, Drama",2015,5.3,"Frank Vega and Bernie Pope return, this time to Louisiana in an attempt to find a kidnapped friend."
Time Traveller,"Action, Adventure, Romance, Sci-Fi",2013,4.6,"An epic, sweeping and riveting tale of an impossible love set across two time periods and continents."
Batman v Superman: Dawn of Justice,"Action, Adventure, Fantasy, Sci-Fi",2016,6.5,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."
Amy,"Documentary, Biography, Music",2015,7.8,Archival footage and personal testimonials present an intimate portrait of the life and career of British singer/songwriter Amy Winehouse.
Magic Mike XXL,"Comedy, Drama, Music",2015,5.6,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance."
